block_id,street,barrio,tipo_c,red_jerarq,length_m,n_shapes,buses_hour,buses_hour_n,buses_hour_d,lines_gtfs,lines,n_lines
1,"CANTILO, INT.",Nuñez,CALLE,VÍA TRONCAL,436.9,8,19.7,13.2,3.5,028 057 059 152 194,028 057 059 152 194,5
2,"LUGONES, LEOPOLDO AV.",Nuñez,AVENIDA,VÍA TRONCAL,295.6,8,26.1,11.2,3.5,028 057 059 152 194,028 057 059 152 194,5
3,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,145.5,0,0,0,0,,,0
4,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,10.2,33,106.4,60.9,66.4,015 028 029 117,015 028 029 117,4
5,"COLECTORA CANTILO, INT.",Nuñez,CALLE,VÍA LOCAL,78.6,0,0,0,0,,,0
6,LA CACHILA,Nuñez,CALLE,VÍA LOCAL,119.7,0,0,0,0,,,0
7,VEDIA,Nuñez,CALLE,VÍA LOCAL,43.7,3,17.0,4.0,6.0,029 117,029 117,2
8,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,89.7,13,37.5,24.8,20.5,015 028 117,015 028 117,3
9,VEDIA,Nuñez,CALLE,VÍA LOCAL,78.3,3,17.0,4.0,6.0,029 117,029 117,2
10,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,38.7,2,17.0,4.0,6.0,029 117,029 117,2
11,LA CACHILA,Nuñez,CALLE,VÍA LOCAL,76.1,0,0,0,0,,,0
12,"CALZADILLA, SANTIAGO",Nuñez,CALLE,VÍA LOCAL,214.5,0,0,0,0,,,0
13,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,99.9,0,0,0,0,,,0
14,PICO,Nuñez,CALLE,VÍA LOCAL,137.8,0,0,0,0,,,0
15,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,94.4,33,106.4,60.9,66.4,015 028 029 117,015 028 029 117,4
16,"COLECTORA CANTILO, INT.",Nuñez,CALLE,VÍA LOCAL,146.5,8,19.7,13.2,3.5,028 057 059 152 194,028 057 059 152 194,5
17,"CANTILO, INT.",Nuñez,CALLE,VÍA TRONCAL,305.9,8,19.7,13.2,3.5,028 057 059 152 194,028 057 059 152 194,5
18,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,74.3,0,0,0,0,,,0
19,VEDIA,Nuñez,CALLE,VÍA LOCAL,94.7,0,0,0,0,,,0
20,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,46.1,0,0,0,0,,,0
21,PICO,Nuñez,CALLE,VÍA LOCAL,135.8,5,25.5,5.0,9.0,028,028,1
22,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,104.8,2,17.0,4.0,6.0,029 117,029 117,2
23,PICO,Nuñez,CALLE,VÍA LOCAL,68.3,0,0,0,0,,,0
24,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,99.9,31,92.6,55.9,57.4,015 028 029 117,015 028 029 117,4
25,GRECIA,Nuñez,CALLE,VÍA LOCAL,62.6,0,0,0,0,,,0
27,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,100.8,0,0,0,0,,,0
28,"LUGONES, LEOPOLDO AV.",Nuñez,AVENIDA,VÍA TRONCAL,356.1,8,26.1,11.2,3.5,028 057 059 152 194,028 057 059 152 194,5
29,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,125.5,19,55.9,24.4,37.9,057 060,057 060,2
30,VEDIA,Nuñez,CALLE,VÍA LOCAL,81.9,0,0,0,0,,,0
31,DEHEZA,Nuñez,CALLE,VÍA LOCAL,123.9,0,0,0,0,,,0
32,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,99.7,7,40.5,13.5,15.0,028 029 117,028 029 117,3
33,PICO,Nuñez,CALLE,VÍA LOCAL,100.0,0,0,0,0,,,0
34,GRECIA,Nuñez,CALLE,VÍA LOCAL,97.0,0,0,0,0,,,0
35,DEHEZA,Nuñez,CALLE,VÍA LOCAL,30.4,0,0,0,0,,,0
36,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,100.6,31,92.6,55.9,57.4,015 028 029 117,015 028 029 117,4
37,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,100.6,19,55.9,24.4,37.9,057 060,057 060,2
38,VEDIA,Nuñez,CALLE,VÍA LOCAL,99.9,0,0,0,0,,,0
39,ARCOS,Nuñez,CALLE,VÍA LOCAL,62.6,0,0,0,0,,,0
40,DEHEZA,Nuñez,CALLE,VÍA LOCAL,44.5,0,0,0,0,,,0
41,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,101.1,0,0,0,0,,,0
42,PICO,Nuñez,CALLE,VÍA LOCAL,101.2,0,0,0,0,,,0
43,O'HIGGINS,Nuñez,CALLE,VÍA LOCAL,101.9,0,0,0,0,,,0
44,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,101.1,32,93.3,49.2,58.5,015 028 057 060 117,015 028 057 060 117,5
45,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,154.6,25,79.8,31.8,33.0,015 028 057 059 117 152 194,015 028 057 059 117 152 194,7
46,ARIAS,Nuñez,CALLE,VÍA LOCAL,116.2,3,16.0,2.0,5.0,028,028,1
47,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,100.1,7,40.5,13.5,15.0,028 029 117,028 029 117,3
48,VEDIA,Nuñez,CALLE,VÍA LOCAL,99.9,0,0,0,0,,,0
49,CUBA,Nuñez,CALLE,VÍA LOCAL,68.8,0,0,0,0,,,0
50,DEHEZA,Nuñez,CALLE,VÍA LOCAL,100.7,0,0,0,0,,,0
51,GRECIA,Nuñez,CALLE,VÍA LOCAL,99.7,0,0,0,0,,,0
52,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,95.5,34,108.6,57.9,62.4,015 028 029 117,015 028 029 117,4
53,ARIAS,Nuñez,CALLE,VÍA LOCAL,53.8,0,0,0,0,,,0
54,PICO,Nuñez,CALLE,VÍA LOCAL,100.0,0,0,0,0,,,0
55,ARCOS,Nuñez,CALLE,VÍA LOCAL,101.8,0,0,0,0,,,0
56,ARIAS,Nuñez,CALLE,VÍA LOCAL,20.8,0,0,0,0,,,0
57,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,101.2,0,0,0,0,,,0
58,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,139.6,32,93.3,49.2,58.5,015 028 057 060 117,015 028 057 060 117,5
59,VEDIA,Nuñez,CALLE,VÍA LOCAL,100.7,0,0,0,0,,,0
60,VUELTA DE OBLIGADO,Nuñez,CALLE,VÍA LOCAL,75.5,0,0,0,0,,,0
61,DEHEZA,Nuñez,CALLE,VÍA LOCAL,100.9,0,0,0,0,,,0
62,O'HIGGINS,Nuñez,CALLE,VÍA LOCAL,99.7,0,0,0,0,,,0
63,"CANTILO, INT.",Belgrano,CALLE,VÍA TRONCAL,580.3,8,19.7,13.2,3.5,028 057 059 152 194,028 057 059 152 194,5
64,RAMALLO,Nuñez,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,108.9,6,48.5,23.5,22.0,028 029 117 130,028 029 117 130,4
65,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,95.6,4,24.5,11.5,10.0,028 029 117,028 029 117,3
66,PICO,Nuñez,CALLE,VÍA LOCAL,99.4,0,0,0,0,,,0
67,CUBA,Nuñez,CALLE,VÍA LOCAL,101.6,0,0,0,0,,,0
68,ARIAS,Nuñez,CALLE,VÍA LOCAL,100.8,0,0,0,0,,,0
69,GRECIA,Nuñez,CALLE,VÍA LOCAL,101.2,0,0,0,0,,,0
70,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,101.9,34,118.1,58.4,64.4,015 028 029 130,015 028 029 130,4
71,DEHEZA,Nuñez,CALLE,VÍA LOCAL,100.1,0,0,0,0,,,0
72,ARCOS,Nuñez,CALLE,VÍA LOCAL,99.7,0,0,0,0,,,0
73,VEDIA,Nuñez,CALLE,VÍA LOCAL,131.3,0,0,0,0,,,0
74,CABILDO AV.,,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,86.3,82,497.9,214.5,236.6,019 021 057 059 060 068 071 130 133 151 152 161 168 184 194,019 021 057 059 060 068 071 130 133 151 152 161 168 184 194,15
75,RAMALLO,Nuñez,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,106.6,2,24.0,12.0,12.0,130,130,1
76,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,95.6,0,0,0,0,,,0
78,VEDIA,Saavedra,CALLE,VÍA LOCAL,47.0,14,48.1,36.1,34.5,021 059 060,021 059 060,3
79,PICO,Nuñez,CALLE,VÍA LOCAL,101.2,0,0,0,0,,,0
80,VUELTA DE OBLIGADO,Nuñez,CALLE,VÍA LOCAL,101.3,0,0,0,0,,,0
81,ARIAS,Nuñez,CALLE,VÍA LOCAL,59.9,0,0,0,0,,,0
82,O'HIGGINS,Nuñez,CALLE,VÍA LOCAL,101.2,0,0,0,0,,,0
83,"PAZ, GRAL. AV.",Saavedra,AVENIDA,VÍA TRONCAL,212.9,27,90.0,60.9,56.0,015 021 028 060 117,015 021 028 060 117,5
84,CORREA,Nuñez,CALLE,VÍA LOCAL,101.2,0,0,0,0,,,0
85,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,101.7,0,0,0,0,,,0
86,DEHEZA,Nuñez,CALLE,VÍA LOCAL,99.5,0,0,0,0,,,0
87,CUBA,Nuñez,CALLE,VÍA LOCAL,99.8,0,0,0,0,,,0
88,RAMALLO,Nuñez,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,95.4,2,24.0,12.0,12.0,130,130,1
89,GRECIA,Nuñez,CALLE,VÍA LOCAL,94.9,0,0,0,0,,,0
90,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,101.9,34,118.1,58.4,64.4,015 028 029 130,015 028 029 130,4
91,"PAZ, GRAL. AV.",Saavedra,AVENIDA,VÍA TRONCAL,99.2,14,52.5,36.1,35.5,021 060,021 060,2
92,VEDIA,Saavedra,CALLE,VÍA LOCAL,186.6,0,0,0,0,,,0
93,VIDAL,Saavedra,CALLE,VÍA LOCAL,55.3,0,0,0,0,,,0
94,ARIAS,Nuñez,CALLE,VÍA LOCAL,100.3,0,0,0,0,,,0
95,ARCOS,Nuñez,CALLE,VÍA LOCAL,100.8,0,0,0,0,,,0
96,PICO,Nuñez,CALLE,VÍA LOCAL,131.4,0,0,0,0,,,0
97,CABILDO AV.,,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,100.4,89,510.8,229.7,252.4,019 057 059 060 068 071 130 133 152 161 168 184 194,019 057 059 060 068 071 130 133 152 161 168 184 194,13
98,"LUGONES, LEOPOLDO AV.",Nuñez,AVENIDA,VÍA TRONCAL,816.0,8,26.1,11.2,3.5,028 057 059 152 194,028 057 059 152 194,5
99,CORREA,Nuñez,CALLE,VÍA LOCAL,101.1,0,0,0,0,,,0
100,"FIGUEROA ALCORTA, PRES. AV.",Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,27.9,2,6.0,4.0,3.0,057,057,1
101,DEHEZA,Nuñez,CALLE,VÍA LOCAL,101.1,0,0,0,0,,,0
102,VUELTA DE OBLIGADO,Nuñez,CALLE,VÍA LOCAL,99.9,0,0,0,0,,,0
103,PICO,Saavedra,CALLE,VÍA LOCAL,39.8,0,0,0,0,,,0
104,SAN ISIDRO LABRADOR AV.,Saavedra,AVENIDA,VÍA DISTRIBUIDORA COMPLEMENTARIA,98.6,23,122.3,35.7,52.5,019 021 057 071 130 151 194,019 021 057 071 130 151 194,7
106,"PISSARRO, VICTOR",Nuñez,CALLE,VÍA LOCAL,104.3,0,0,0,0,,,0
107,RAMALLO,Nuñez,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,100.4,2,24.0,12.0,12.0,130,130,1
108,O'HIGGINS,Nuñez,CALLE,VÍA LOCAL,95.0,0,0,0,0,,,0
109,VEDIA,Saavedra,CALLE,VÍA LOCAL,99.0,0,0,0,0,,,0
110,CRAMER,Saavedra,CALLE,VÍA LOCAL,44.8,0,0,0,0,,,0
111,"PAZ, GRAL. AV.",Saavedra,AVENIDA,VÍA TRONCAL,100.3,14,52.5,36.1,35.5,021 060,021 060,2
112,RUIZ HUIDOBRO,Nuñez,CALLE,VÍA LOCAL,93.4,0,0,0,0,,,0
113,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,101.3,0,0,0,0,,,0
114,ARIAS,Nuñez,CALLE,VÍA LOCAL,99.6,0,0,0,0,,,0
115,CUBA,Nuñez,CALLE,VÍA LOCAL,100.6,0,0,0,0,,,0
116,PICO,Saavedra,CALLE,VÍA LOCAL,100.5,6,58.7,17.1,29.0,021 071 151,021 071 151,3
117,CORREA,Nuñez,CALLE,VÍA LOCAL,72.0,0,0,0,0,,,0
118,GRECIA,Nuñez,CALLE,VÍA LOCAL,101.5,0,0,0,0,,,0
119,SAN ISIDRO LABRADOR AV.,Saavedra,AVENIDA,VÍA DISTRIBUIDORA COMPLEMENTARIA,49.8,17,63.6,18.6,23.5,019 057 130 194,019 057 130 194,4
120,VEDIA,Saavedra,CALLE,VÍA LOCAL,99.6,0,0,0,0,,,0
121,CONESA,Saavedra,CALLE,VÍA LOCAL,35.2,14,52.5,36.1,35.5,021 060,021 060,2
122,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,85.6,34,118.1,58.4,64.4,015 028 029 130,015 028 029 130,4
123,RAMALLO,Nuñez,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,100.5,2,24.0,12.0,12.0,130,130,1
124,ARCOS,Nuñez,CALLE,VÍA LOCAL,95.3,0,0,0,0,,,0
125,CRAMER,Saavedra,CALLE,VÍA LOCAL,48.9,0,0,0,0,,,0
126,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,46.3,0,0,0,0,,,0
127,"RIVADAVIA MARTIN, COMODORO",Nuñez,CALLE,VÍA LOCAL,497.4,0,0,0,0,,,0
128,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,29.1,34,118.1,58.4,64.4,015 028 029 130,015 028 029 130,4
129,DEHEZA,Nuñez,CALLE,VÍA LOCAL,131.4,0,0,0,0,,,0
130,CABILDO AV.,,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,100.1,89,510.8,229.7,252.4,019 057 059 060 068 071 130 133 152 161 168 184 194,019 057 059 060 068 071 130 133 152 161 168 184 194,13
131,PICO,Saavedra,CALLE,VÍA LOCAL,85.9,6,58.7,17.1,29.0,021 071 151,021 071 151,3
132,VIDAL,Saavedra,CALLE,VÍA LOCAL,98.3,0,0,0,0,,,0
133,RUIZ HUIDOBRO,Nuñez,CALLE,VÍA LOCAL,101.2,0,0,0,0,,,0
134,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,101.0,0,0,0,0,,,0
135,ARIAS,Nuñez,CALLE,VÍA LOCAL,100.9,0,0,0,0,,,0
136,VUELTA DE OBLIGADO,Nuñez,CALLE,VÍA LOCAL,100.6,0,0,0,0,,,0
137,"MALHARRO, MARTIN A.",Saavedra,PASAJE,VÍA LOCAL,99.5,0,0,0,0,,,0
138,MOLDES,Saavedra,CALLE,VÍA LOCAL,49.8,0,0,0,0,,,0
139,VEDIA,Saavedra,CALLE,VÍA LOCAL,98.5,14,52.5,36.1,35.5,021 060,021 060,2
140,DEHEZA,Saavedra,CALLE,VÍA LOCAL,55.0,18,63.6,18.6,25.0,019 057 071 194,019 057 071 194,4
141,SAN ISIDRO LABRADOR AV.,Saavedra,AVENIDA,VÍA DISTRIBUIDORA COMPLEMENTARIA,48.8,17,63.6,18.6,23.5,019 057 130 194,019 057 130 194,4
142,RUIZ HUIDOBRO,Nuñez,CALLE,VÍA LOCAL,22.5,0,0,0,0,,,0
143,CORREA,Nuñez,CALLE,VÍA LOCAL,100.1,0,0,0,0,,,0
144,O'HIGGINS,Nuñez,CALLE,VÍA LOCAL,101.4,0,0,0,0,,,0
145,ARGELIA,Saavedra,PASAJE,VÍA LOCAL,99.3,0,0,0,0,,,0
146,CONESA,Saavedra,CALLE,VÍA LOCAL,48.9,0,0,0,0,,,0
147,BESARES,Nuñez,CALLE,VÍA LOCAL,90.7,0,0,0,0,,,0
148,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,45.9,0,0,0,0,,,0
150,"PISSARRO, VICTOR",Nuñez,CALLE,VÍA LOCAL,103.6,0,0,0,0,,,0
151,PICO,Saavedra,CALLE,VÍA LOCAL,99.5,6,58.7,17.1,29.0,021 071 151,021 071 151,3
152,CRAMER,Saavedra,CALLE,VÍA LOCAL,48.9,0,0,0,0,,,0
153,RAMALLO,Nuñez,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,99.7,2,24.0,12.0,12.0,130,130,1
154,CUBA,Nuñez,CALLE,VÍA LOCAL,95.5,0,0,0,0,,,0
155,IRLANDA,Nuñez,PASAJE,VÍA LOCAL,101.2,0,0,0,0,,,0
156,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,46.3,0,0,0,0,,,0
157,"MALHARRO, MARTIN A.",Saavedra,PASAJE,VÍA LOCAL,86.2,0,0,0,0,,,0
158,VIDAL,Saavedra,CALLE,VÍA LOCAL,49.9,0,0,0,0,,,0
159,VEDIA,Saavedra,CALLE,VÍA LOCAL,99.7,29,101.7,55.7,70.8,015 021 060 117,015 021 028 060 117,5
160,"CANTILO, INT.",Belgrano,CALLE,VÍA TRONCAL,385.5,8,19.7,13.2,3.5,028 057 059 152 194,028 057 059 152 194,5
161,RUIZ HUIDOBRO,Nuñez,CALLE,VÍA LOCAL,48.8,0,0,0,0,,,0
162,GRECIA,Nuñez,CALLE,VÍA LOCAL,100.9,0,0,0,0,,,0
163,DEHEZA,Saavedra,CALLE,VÍA LOCAL,98.8,3,29.1,8.9,15.0,071 151,071 151,2
164,MOLDES,Saavedra,CALLE,VÍA LOCAL,49.3,0,0,0,0,,,0
165,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,79.2,34,118.1,58.4,64.4,015 028 029 130,015 028 029 130,4
166,PICO,Saavedra,CALLE,VÍA LOCAL,99.0,5,41.6,12.1,21.5,021 071,021 071,2
167,CONESA,Saavedra,CALLE,VÍA LOCAL,48.4,0,0,0,0,,,0
168,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,50.4,0,0,0,0,,,0
169,CORREA,Nuñez,CALLE,VÍA LOCAL,100.7,0,0,0,0,,,0
170,ARCOS,Nuñez,CALLE,VÍA LOCAL,101.4,0,0,0,0,,,0
171,ARIAS,Nuñez,CALLE,VÍA LOCAL,131.5,0,0,0,0,,,0
172,CABILDO AV.,,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,96.7,101,520.4,228.4,250.4,057 059 060 068 130 133 152 161 168 184 194,057 059 060 068 130 133 152 161 168 184 194,11
173,BESARES,Nuñez,CALLE,VÍA LOCAL,101.2,0,0,0,0,,,0
174,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,46.0,0,0,0,0,,,0
175,DEHEZA,Saavedra,CALLE,VÍA LOCAL,86.4,3,29.1,8.9,15.0,071 151,071 151,2
176,VIDAL,Saavedra,CALLE,VÍA LOCAL,49.6,0,0,0,0,,,0
177,RAMALLO,Nuñez,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,100.8,2,24.0,12.0,12.0,130,130,1
178,VUELTA DE OBLIGADO,Nuñez,CALLE,VÍA LOCAL,95.2,0,0,0,0,,,0
179,PADRE CANAVERY,Nuñez,CALLE,VÍA LOCAL,182.0,0,0,0,0,,,0
180,"RIVADAVIA MARTIN, COMODORO",Nuñez,CALLE,VÍA LOCAL,108.2,0,0,0,0,,,0
181,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,28.4,0,0,0,0,,,0
182,PICO,Saavedra,CALLE,VÍA LOCAL,98.9,5,41.6,12.1,21.5,021 071,021 071,2
183,ZAPIOLA,Saavedra,CALLE,VÍA LOCAL,97.4,3,29.6,7.5,14.8,021,021,1
184,RUIZ HUIDOBRO,Nuñez,CALLE,VÍA LOCAL,99.8,0,0,0,0,,,0
185,O'HIGGINS,Nuñez,CALLE,VÍA LOCAL,100.9,0,0,0,0,,,0
186,BESARES,Nuñez,CALLE,VÍA LOCAL,43.4,0,0,0,0,,,0
187,ARIAS,Saavedra,CALLE,VÍA LOCAL,68.7,0,0,0,0,,,0
188,SAN ISIDRO LABRADOR AV.,Saavedra,AVENIDA,VÍA DISTRIBUIDORA COMPLEMENTARIA,98.6,2,27.0,10.0,12.0,019 130,019 130,2
189,VEDIA,Saavedra,CALLE,VÍA LOCAL,153.2,29,101.7,55.7,70.8,015 021 060 117,015 021 060 117,4
190,VILELA,Nuñez,CALLE,VÍA LOCAL,107.1,0,0,0,0,,,0
191,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,22.0,0,0,0,0,,,0
192,"UDAONDO, GUILLERMO AV.",Belgrano,AVENIDA,VÍA LOCAL,75.1,15,58.5,38.8,22.6,028 034 037 042 107 160,028 034 037 042 107 160,6
195,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,85.4,34,118.1,58.4,64.4,015 028 029 130,015 028 029 130,4
196,RIO PIEDRAS,Nuñez,PASAJE,VÍA LOCAL,101.2,0,0,0,0,,,0
197,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,50.1,0,0,0,0,,,0
198,CORREA,Nuñez,CALLE,VÍA LOCAL,99.7,0,0,0,0,,,0
199,CUBA,Nuñez,CALLE,VÍA LOCAL,101.5,0,0,0,0,,,0
200,DEHEZA,Saavedra,CALLE,VÍA LOCAL,99.9,2,12.0,3.9,7.5,071,071,1
201,CRAMER,Saavedra,CALLE,VÍA LOCAL,99.9,1,17.1,5.0,7.5,151,151,1
202,VILELA,Nuñez,CALLE,VÍA LOCAL,31.6,0,0,0,0,,,0
203,"RIVADAVIA MARTIN, COMODORO",Nuñez,CALLE,VÍA LOCAL,38.6,0,0,0,0,,,0
204,BESARES,Nuñez,CALLE,VÍA LOCAL,26.1,0,0,0,0,,,0
205,GRECIA,Nuñez,CALLE,VÍA LOCAL,92.2,0,0,0,0,,,0
206,VILELA,Nuñez,CALLE,VÍA LOCAL,35.3,0,0,0,0,,,0
208,PICO,Saavedra,CALLE,VÍA LOCAL,99.3,2,12.0,4.6,6.8,071,071,1
209,QUINTANA,Saavedra,CALLE,VÍA LOCAL,99.6,0,0,0,0,,,0
210,"SANCHEZ, MIGUEL B. AV.",Nuñez,AVENIDA,VÍA LOCAL,488.9,0,0,0,0,,,0
211,ARIAS,Saavedra,CALLE,VÍA LOCAL,94.9,1,15.0,4.0,6.0,019,019,1
212,"GUIRALDES, INT.",Belgrano,CALLE,VÍA LOCAL,94.7,26,66.0,50.8,35.1,033 037 045 160 194,033 037 045 160 166 194,6
213,RAMALLO,Nuñez,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,131.4,2,24.0,12.0,12.0,130,130,1
214,CABILDO AV.,,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,95.6,101,520.4,228.4,250.4,057 059 060 068 130 133 152 161 168 184 194,057 059 060 068 130 133 152 161 168 184 194,11
215,RUIZ HUIDOBRO,Nuñez,CALLE,VÍA LOCAL,100.9,0,0,0,0,,,0
216,ARCOS,Nuñez,CALLE,VÍA LOCAL,100.9,0,0,0,0,,,0
217,GRECIA,Nuñez,CALLE,VÍA LOCAL,44.5,0,0,0,0,,,0
218,VEDIA,Saavedra,CALLE,VÍA LOCAL,102.3,30,111.0,64.9,70.8,015 021 028 060 117,015 021 028 060 117,5
219,DEHEZA,Saavedra,CALLE,VÍA LOCAL,98.4,2,12.0,3.9,7.5,071,071,1
220,CONESA,Saavedra,CALLE,VÍA LOCAL,99.9,0,0,0,0,,,0
222,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,51.0,0,0,0,0,,,0
223,CORREA,Nuñez,CALLE,VÍA LOCAL,100.9,0,0,0,0,,,0
224,VUELTA DE OBLIGADO,Nuñez,CALLE,VÍA LOCAL,101.6,0,0,0,0,,,0
225,ARIAS,Saavedra,CALLE,VÍA LOCAL,90.5,1,15.0,4.0,6.0,019,019,1
226,VIDAL,Saavedra,CALLE,VÍA LOCAL,98.4,1,17.1,5.0,7.5,151,151,1
227,BESARES,Nuñez,CALLE,VÍA LOCAL,99.5,0,0,0,0,,,0
228,O'HIGGINS,Nuñez,CALLE,VÍA LOCAL,92.0,0,0,0,0,,,0
229,PAROISSIEN,Nuñez,CALLE,VÍA LOCAL,122.3,0,0,0,0,,,0
230,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,83.8,0,0,0,0,,,0
231,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,95.1,34,118.1,58.4,64.4,015 028 029 130,015 028 029 130,4
232,PICO,Saavedra,CALLE,VÍA LOCAL,136.3,2,12.0,4.6,6.8,071,071,1
233,PINTO,Saavedra,CALLE,VÍA LOCAL,94.6,0,0,0,0,,,0
235,"GUIRALDES, INT.",Belgrano,CALLE,VÍA LOCAL,74.0,26,66.0,50.8,35.1,033 037 045 160 194,033 037 045 160 166 194,6
236,DEHEZA,Saavedra,CALLE,VÍA LOCAL,99.2,2,12.0,3.9,7.5,071,071,1
237,ZAPIOLA,Saavedra,CALLE,VÍA LOCAL,99.4,0,0,0,0,,,0
238,RAMALLO,Saavedra,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,83.9,1,12.0,6.0,6.0,130,130,1
239,SAN ISIDRO LABRADOR AV.,Saavedra,AVENIDA,VÍA DISTRIBUIDORA COMPLEMENTARIA,94.8,1,12.0,6.0,6.0,130,130,1
240,"RIVADAVIA MARTIN, COMODORO",Nuñez,CALLE,VÍA LOCAL,86.5,0,0,0,0,,,0
241,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,27.1,0,0,0,0,,,0
242,RUIZ HUIDOBRO,Nuñez,CALLE,VÍA LOCAL,99.9,0,0,0,0,,,0
243,CUBA,Nuñez,CALLE,VÍA LOCAL,101.0,0,0,0,0,,,0
244,MANZANARES,Nuñez,CALLE,VÍA LOCAL,38.5,0,0,0,0,,,0
245,VEDIA,Saavedra,CALLE,VÍA LOCAL,99.8,29,101.7,55.7,70.8,015 021 060 117,015 021 028 060 117,5
246,ARIAS,Saavedra,CALLE,VÍA LOCAL,99.4,1,15.0,4.0,6.0,019,019,1
247,CRAMER,Saavedra,CALLE,VÍA LOCAL,98.4,1,17.1,5.0,7.5,151,151,1
248,VILELA,Nuñez,CALLE,VÍA LOCAL,67.8,0,0,0,0,,,0
249,GRECIA,Nuñez,CALLE,VÍA LOCAL,59.5,0,0,0,0,,,0
250,CERRILLOS,Nuñez,PASAJE,VÍA LOCAL,116.0,0,0,0,0,,,0
